N_Circuito;Data_Rate;Data_Inst;Data_Activ;Estado_Cct;Entidade_PTR1;Morada_PTR1;Cod_Post_PTR1;Interface_PTR1;Equip_PTR1;Slot_PTR1;Trib_PTR1;Entidade_PTR2;Morada_PTR2;Cod_Post_PTR2;Interface_PTR2;Equip_PTR2;Slot_PTR2;Trib_PTR2;User_Cct;Propriedade_Cct;Outras_Ref
RFT000497;2 Mbps;2004-11-18;2009-10-08;Desligado;Tele2;Páteo Bagatelas;;G.703;ENTCMP_660_1-b31p02;---;TU-1.1.3;RT;Aveiro;;G.703;AVEIRO_660_1;1;16;Tele2;ReferTelecom;Protegido
RFT000498;2 Mbps;2004-11-18;2007-11-23;Desligado;Tele2;Páteo Bagatelas;;G.703;SDH-1650-SL01;---;Tr 20;RT;Aveiro;;G.703;SDH-1660-SL01;---;Tr 17;Tele2;ReferTelecom;
RFT000499;2 Mbps;2004-11-18;2009-10-08;Desligado;Tele2;Páteo Bagatelas;;STM-1-Óptico;ENTCMP_660_1-b31p01;---;1.2.1;RT;Caldas Rainha;;G.703;CALDAS_660_1;1;6;Tele2;ReferTelecom;"Circuito PT (Tele2): 1001283341 
Protegido"
RFT000500;2 Mbps;2004-11-18;2007-11-23;Desligado;Tele2;Páteo Bagatelas;;STM-1-Óptico;SDH-1650-SL;---;1.2.2;RT;Caldas Rainha;;G.703;SDH-1660-SL01;---;Tr 07;Tele2;ReferTelecom;Circuito PT (Tele2): 1001283344
RFT000501;2 Mbps;2004-11-18;2007-11-23;Desligado;Tele2;Páteo Bagatelas;;STM-1-Óptico;SDH-1650-SL;---;1.2.3;RT;Caldas Rainha;;G.703;SDH-1660-SL01;---;Tr 08;Tele2;ReferTelecom;Cirrcuito PT(Tele2): 1001283348
RFT000502;2 Mbps;2004-11-18;2009-10-08;Desligado;Tele2;Páteo Bagatelas;;STM-1-Óptico;ENTCMP_660_1-b31p01;---;2.1.1;RT;Faro;;G.703;FARO_650_1;1;11;Tele2;ReferTelecom;"Em Faro: Circuito PT nº 1001288356 , tr 18 (da Tele2)
Protegido"
RFT000503;2 Mbps;2004-11-18;2009-10-08;Desligado;Tele2;Páteo Bagatelas;;STM-1-Óptico;ENTCMP_660_1-b31p01;---;2.1.2;RT;Faro;;G.703;FARO_650_1;1;12;Tele2;ReferTelecom;"Em Faro: Circuito PT nº 1001288358 , tr 19 (da Tele2)
Protegido"
RFT000504;2 Mbps;2004-11-18;2006-10-04;Desligado;Tele2;Páteo Bagatelas;;STM-1-Óptico;SDH-1650-SL;---;2.1.3;RT;Faro;;G.703;SDH-1650-SL01;---;Tr 13;Tele2;ReferTelecom;Em Faro: Circuito PT nº 1001288359 , tr 20 (da Tele2)
RFT000505;2 Mbps;2004-11-18;2007-01-26;Desligado;Tele2;Páteo Bagatelas;;STM-1-Óptico;SDH-1650-SL;---;1.3.1;RT;Leiria;;G.703;SDH-1660-SL01;---;Tr 14;Tele2;ReferTelecom;1001288351
RFT000506;2 Mbps;2004-11-18;2007-01-26;Desligado;Tele2;Páteo Bagatelas;;STM-1-Óptico;SDH-1650-SL;---;1.3.2;RT;Leiria;;G.703;SDH-1660-SL01;---;Tr 15;Tele2;ReferTelecom;1001288354
RFT000507;2 Mbps;2004-11-18;2006-10-02;Desligado;Tele2;Páteo Bagatelas;;STM-1-Óptico;SDH-1650-SL;---;1.3.3;RT;Leiria;;G.703;SDH-1660-SL01;---;Tr 16;Tele2;ReferTelecom;1001288355
RFT000508;2 Mbps;2004-11-18;2009-05-20;Desligado;Tele2;Páteo Bagatelas;;STM-1-Óptico;ENTCMP_660_1-b31p01;---;1.1.1;RT;T. Vedras;;G.703;TVEDRS_660_1;1;9;Tele2;ReferTelecom;"Na SET de T.Vedras - DDF da PT(Novis) Régua 1; Tributário 13.
Protegido"
RFT000509;2 Mbps;2004-11-18;2009-05-20;Desligado;Tele2;Páteo Bagatelas;;STM-1-Óptico;ENTCMP_660_1-b31p01;---;1.1.2;RT;T. Vedras;;G.703;TVEDRS_660_1;1;8;Tele2;ReferTelecom;"Na SET de T.Vedras - DDF da PT(Novis) Régua 1; Tributário 14
Protegido"
RFT000510;2 Mbps;2004-11-18;2009-10-08;Desligado;Tele2;Páteo Bagatelas;;STM-1-Óptico;ENTCMP_660_1-b31p01;---;1.1.3;RT;T. Vedras;;G.703;TVEDRS_660_1;1;Tr 11;Tele2;ReferTelecom;"Na SET de T.Vedras - DDF da PT(Novis) Régua 1; Tributário 15
Protegido"
RFT000511;2 Mbps;2004-11-18;2009-10-08;Desligado;Tele2;Páteo Bagatelas;;STM-1-Óptico;ENTCMP_660_1-b31p01;---;2.2.1;RT;Évora;;G.703;EVORA_660_1;1;7;Tele2;ReferTelecom;Protegido
RFT000512;2 Mbps;2004-11-18;2009-05-20;Desligado;Tele2;Páteo Bagatelas;;STM-1-Óptico;ENTCMP_660_1-b31p01;---;2.2.2;RT;Évora;;G.703;EVORA_660_1;1;8;Tele2;ReferTelecom;Protegido
RFT000513;2 Mbps;2004-11-18;2009-10-08;Desligado;Tele2;Páteo Bagatelas;;STM-1-Óptico;ENTCMP_660_1-b31p01;---;1.6.2;RT;Santarém;;G.703;SANTRM_650_1;1;4;Tele2;ReferTelecom;Protegido
RFT000514;2 Mbps;2004-11-18;2009-10-08;Desligado;Tele2;Páteo Bagatelas;;STM-1-Óptico;ENTCMP_660_1-b31p01;---;1.6.3;RT;Santarém;;G.703;SANTRM_650_1;1;5;Tele2;ReferTelecom;Protegido
RFT000515;2 Mbps;2004-11-18;2022-12-05;Desligado;RT;Entroncamento;;G.703;ENTCRM_660_1;1;10;RT;Lamarosa;;G.703;LAMARO_650_1;1;1;Rede de Dados;ReferTelecom;Foi desconfigurado em 05-12-2022. Pedido por João Alves
RFT000516;2 Mbps;2004-11-18;2021-12-21;Desligado;RT;Campanhã;;G.703;PRCAMP_660_2;3;7;RT;Granja;;G.703;GRANJA_640_1;4;5;Rede de Dados;ReferTelecom;Protegido
RFT000517;2 Mbps;2004-12-15;2012-07-17;Desligado;Ar Telecom;Alcântara;;G.703;AMADRA_660_1-b27p01;---;TU12-1.1.2;RT;Setúbal;;G.703;SETBAL_660_1;1;6;Ar Telecom;ReferTelecom;Protegido
RFT000518;2 Mbps;2004-12-15;2012-02-01;Desligado;Ar Telecom;Alcântara;;G.703;AMADRA_660_1-b27p01;---;TU12-1.1.3;RT;Faro;;G.703;FARO_650_1;1;17;Ar Telecom;ReferTelecom;"Em Faro: Circuito PT nº 1001287616, tr 21 (da Jazztel)
Protegido"
RFT000519;155 Mbps;2004-12-03;2006-01-04;Desligado;RT;Carrier House;;FC-PC;SDH-1660-SL31;---;p2;RT;Contumil;;FC-PC;SDH-1660-SL27;---;p1;NFSi;ReferTelecom;
RFT000520;2 Mbps;2004-12-02;2022-11-25;Desligado;RT;Oriente;;G.703;ORINOC_660_1;1;3;RT;Faro;;G.703;FARO_650_1;1;8;Rede de Dados;ReferTelecom;"Circuito de securização do CTC de Faro
Desligado, Pedido por Joáo Alves"
RFT000521;155 Mbps;2004-12-17;2007-10-30;Desligado;Colt;Carnaxide;;G.703;SDH-1660#1-SL27;---;p2;RT;Campanhã;;G.703;SDH-1660#2_SL27;---;p1;Colt;ReferTelecom;
RFT000522;2 Mbps;2004-12-03;2009-04-08;Desligado;RT;Faro;;G.703;FARO_650_1;1;5;RT;Loulé;;G.703;LOULE_650_1;1;2;Rede de Dados;ReferTelecom;Protegido, foi pedido o cancelamento em: 8-04-2009
RFT000523;2 Mbps;2004-12-03;2009-04-08;Desligado;RT;Faro;;G.703;FARO_650_1;1;14;RT;Albufeira;;G.703;ALBUFR_650_1;1;2;Rede de Dados;ReferTelecom;Protegido. foi pedido o cancelamento em: 8-04-2009
RFT000524;2 Mbps;2004-12-14;2008-03-05;Desligado;RT;G. Oriente;;G.703;ORINOC_660_1;15;6;RT;G. Oriente L7;;G.703;LISORI_650_1;1;13;R. Acesso;ReferTelecom;Protegido
RFT000525;155 Mbps;2004-12-16;2006-08-24;Desligado;Tele2;Pátio Bagatelas;;G.703;SDH-1660-SL05;---;p1;Tele2;Páteo Bagatelas;;G.703;SDH-1650-SL08;---;p2;Tele2;ReferTelecom;
RFT000526;34 Mbps;2004-12-14;2008-08-29;Desligado;RT;G. Oriente;;G.703;SDH-1660#1-SL20;---;Tr 03;NFSi;Carrier-House;;G.703;SDH-1660-SL20;---;Tr 02;Rede de Dados;ReferTelecom;
RFT000527;2 Mbps;2004-12-15;2005-02-01;Desligado;Ar Telecom;Alcântara;;G.703;STM1-Jazztel;---;TU12-1.2.1;RT;Braga;;G.703;SDH-1660-SL01;---;Tr 13;Ar Telecom;ReferTelecom;
RFT000528;2 Mbps;2004-12-15;2005-02-01;Desligado;Ar Telecom;Alcântara;;G.703;STM1-Jazztel;---;TU12-1.2.2;RT;Braga;;G.703;SDH-1660-SL01;---;Tr 14;Ar Telecom;ReferTelecom;
RFT000529;2 Mbps;2004-12-15;2021-06-07;Desligado;RT;Entroncamento;;G.703;ENTCRM_660_1;1;19;RT;Alferrarede;;G.703;ALFRED_642_1;4;1;Rede de Dados;ReferTelecom;Foi pedido o cancelamento em 07-06-2021.
RFT000530;2 Mbps;2004-11-01;2004-12-20;Desligado;RT;Oriente;;G.703;OLTE-3;---;3;RT;Oriente - Engenharia Refer;;G.703;OLTE-1;---;3;Rede de Voz;Refertelecom;Ligação do Comutador á central instalada no edificio da Engenharia Refer.
RFT000531;2 Mbps;2004-11-01;2006-12-07;Desligado;RT;Oriente;;G.703;OLTE-3;---;4;RT;Oriente - Engenharia Refer;;G.703;OLTE-1;---;4;Rede de Voz;Refertelecom;Ligação do comutador á central instalada no edificio da Engenharia Refer.
RFT000532;2 Mbps;2004-12-21;2008-05-08;Desligado;RT;G. Oriente;;G.703;SDH-1660#2-SL15;---;Tr 07;RT;Tunes;;G.703;SDH-1650-SL01;---;Tr 16;Rede de Voz;ReferTelecom;
RFT000533;2 Mbps;2005-01-11;2005-05-09;Desligado;RT;Carrier House;;G.703;SDH-1660-SL01;---;Tr 09;Claranet;Saldanha;;G.703;OLTE 16x2;---;Tr 03;Claranet;ReferTelecom;"Saldanha, SDH-1660-SL01Tr08.
Carrier House-1001289002."
RFT000534;2 Mbps;2005-01-14;2005-01-20;Desligado;RT;Entroncamento;;G.703;;---;;RT;Abrantes;;G.703;;---;;R. Acesso;ReferTelecom;
RFT000535;2 Mbps;2005-01-14;2005-01-20;Desligado;RT;Entroncamento;;G.703;;---;;RT;Abrantes;;G.703;;---;;R. Acesso;ReferTelecom;
RFT000536;2 Mbps;2005-01-18;2005-01-18;Activo;RT;Oriente;;G.703;ORINOC_660_1;15;1;RT;Cais Sodré;;G.703;OLTE-1;---;Tr 01;Rede de Voz;ReferTelecom;"Em Alcantara ALCMAR_660_1-b01p01- Liga na OLTE para Cais Sodré - tr 01.
Protegido"
RFT000542;2 Mbps;2005-01-31;2006-10-02;Desligado;Tele2;Páteo Bagatelas;;G.703;SDH-1650-SL01;---;Tr 07;RT;Braga;;G.703;SDH-1660-SL01;---;Tr 17;Tele2;ReferTelecom;
RFT000537;2 Mbps;2005-01-20;2005-01-20;Activo;IP;Entroncamento;;G.703;ENTCRM_650_1;1;11;IP;Abrantes;;G.703;ABRANT_662_1;2;8;IP-DAT-R.Acesso;IP;
RFT000538;2 Mbps;2005-01-20;2005-01-20;Activo;IP;Entroncamento;;G.703;ENTCRM_650_1;1;12;IP;Abrantes;;G.703;ABRANT_662_1;2;10;IP-DAT-R.Acesso;IP;
RFT000539;2 Mbps;2005-01-20;2005-01-20;Desligado;RT;Entroncamento;;G.703;SDH-1650-SL01;---;Tr 13;RT;Abrantes;;G.703;SDH-1650-SL01;---;Tr 12;R. Acesso;ReferTelecom;
RFT000540;2 Mbps;2005-01-20;2011-06-24;Desligado;RT;Entroncamento;;G.703;ENTCRM_650_1;1;14;RT;Abrantes;;G.703;ABRANT_650_1;1;13;Rede de Dados;ReferTelecom;"Stª Margarida.
Desligado em 24-06-2011, por falta de serviço para Stª Margarida. Foi substituido pelo circuito RFT000541, só para Abrantes."
RFT000541;2 Mbps;2005-01-20;2017-11-08;Desligado;RT;Entroncamento;;G.703;ENTCRM_650_1;1;15;RT;Abrantes;;G.703;ABRANT_662_1;2;12;Rede de Dados;ReferTelecom;Desligado a pedido por Mail de João Alves.
RFT000543;2 Mbps;2005-01-31;2006-10-02;Desligado;Tele2;Páteo Bagatelas;;G.703;SDH-1650-SL02;---;Tr 18;RT;Braga;;G.703;SDH-1660-SL01;---;Tr 16;Tele2;ReferTelecom;
RFT000544;2 Mbps;2005-01-31;2006-10-02;Desligado;Tele2;Páteo Bagatelas;;STM-1-Óptico;SDH-1650-SL;---;1.5.3;RT;Coimbra B;;G.703;SDH-1660-SL01;---;9;Tele2;ReferTelecom;Circuito PT-1001291878-pertence á Tele 2.
RFT000545;2 Mbps;2005-01-31;2006-10-02;Desligado;Tele2;Páteo Bagatelas;;STM-1-Óptico;SDH-1650-SL;---;1.6.1;RT;Coimbra B;;G.703;SDH-1660-SL01;---;11;Tele2;ReferTelecom;Em Coimbra B liga ao Circuito PT 1001291880
RFT000546;2 Mbps;2005-01-31;2009-10-08;Desligado;Tele2;Páteo Bagatelas;;STM-1-Óptico;ENTCMP_660_1-b31p1;---;1.7.1;RT;V. Franca Xira;;G.703;VFXIRA_650_1;1;9;Tele2;ReferTelecom;"PT-VFX-1001291882.
Protegido"
RFT000547;2 Mbps;2005-02-01;2006-10-02;Desligado;Tele2;Páteo Bagatelas;;G.703;SDH-1650-SL02;---;Tr 16;RT;Famalicão;;G.703;OLTE;---;Tr 04;Tele2;ReferTelecom;Em Lousado é o tributário 12 do SDH
RFT000548;2 Mbps;2005-02-18;2021-03-26;Desligado;RT;Cais Sodré;;G.703;OLTE-1;---;2;RT;Paço de Arcos;;G.703;PARCOS_641_1;2;1;Rede de Voz;Refertelecom;"Em Alcantara Mar SDH ALCMAR_660_1-b01p02- liga á OLTE para Cais Sodré.
Desativado devido á desativação da central MD110 de Paço de Arcos."
RFT420008;2 Mbps;2005-02-25;2005-02-25;Desligado;RT;Pampilhosa;;G.703;SDH-1660#1-SL01;---;Tr 21;RT;F. Foz;;G.703;SDH-1660-SL01;---;Tr 06;R. Acesso;ReferTelecom;
RFT000549;2 Mbps;2005-02-25;2019-05-28;Desligado;RT;Campanhã;;G.703;PRCAMP_660_2;1;19;RT;Sernada do Vouga;;G.703;OLTE;---;#3;Rede de Dados;ReferTelecom;"Em Águeda: STM16-AGUEDA_660_1-b01p03
Desligado a pedido do João Alves."
RFT000550;2 Mbps;2005-02-23;2010-04-05;Desligado;RT;G. Oriente;;G.703;ORINOC_660_1;15;8;TVI Connect;Madrid;;G.703;;---;;Rede de Voz;ReferTelecom;"AB41.A2804.A0102.0001
Na Carrier-House termina no CHOUSE_660_1-b01p16-(L11-34I-00-089) e liga à posição L11-300-00-051 da Cogent.
Protegido
"
RFT000551;2 Mbps;2005-02-23;2010-04-05;Desligado;RT;G. Oriente;;G.703;ORINOC_660_1;15;Tr 09;TVI Connect;Madrid;;G.703;;---;;Rede de Voz;ReferTelecom;"AB41.A2804.A0102.0002
Na Carrier-House termina no CHOUSE_660_1-b01p17-(L11-34I-00-090) e liga à posição L11-25D-00-065 da Cogent.
Protegido"
RFT000552;2 Mbps;2005-02-23;2010-04-05;Desligado;RT;G. Oriente;;G.703;ORINOC_660_1;15;Tr 10;TVI Connect;Madrid;;G.703;;---;;Rede de Voz;ReferTelecom;"AB41.A2804.A0102.0003
Na Carrier-House termina no CHOUSE_660_1-b01p18-(L11-34I-00-091) e liga à posição L11-25D-00-066 da Cogent.
Protegido"
RFT000553;2 Mbps;2005-02-23;2010-04-05;Desligado;RT;G. Oriente;;G.703;ORINOC_660_1;15;11;TVI Connect;Madrid;;G.703;CHOUSE_660_1;1;19;Rede de Voz;ReferTelecom;"AB41.A2804.A0102.0004
Na Carrier-House termina no SL01-tr19 (L11-34I-00-092) e liga à posição L11-25D-00-067 da Cogent.
Protegido"
RFT000554;2 Mbps;2005-02-23;2009-03-17;Desligado;RT;G. Oriente;;G.703;ORINOC_660_1;15;12;TVI Connect;Madrid;;G.703;CHOUSE_660_1;1;20;Rede de Voz;ReferTelecom;"AB41.A2804.A0102.0005
Na Carrier-House termina no SL01-tr20 (L11-34I-00-093) e liga à posição L11-25D-00-068 da Cogent.
Protegido"
RFT000555;2 Mbps;2005-02-23;2009-03-17;Desligado;RT;G. Oriente;;G.703;ORINOC_660_1;15;13;TVI Connect;Madrid;;G.703;CHOUSE_660_1;1;21;Rede de Voz;ReferTelecom;"AB41.A2804.A0102.0006
Na Carrier-House termina no SL01-tr21 (L11-34I-00-094) e liga à posição L11-25D-00-069 da Cogent.
Protegido"
RFT000556;2 Mbps;2005-03-11;2011-02-28;Desligado;Claranet;Mealhada;;G.703;OLTE 4x2 - Sul;---;Tr 03;Claranet;Carrier House;;Link de STM1;CHOUSE_660_1-b31p02;---;1.3.1;Claranet;Refertelecom;"Em Pampilhosa 1660 SL 01-Tr 07.
Em Entrecampos 1660 SL 01-Tr 13.
Em Mealhada PT-1001291903.
O circuito passou de Entrecampos para a CH no dia 09-05-06
Protegido"
RFT000557;2 Mbps;2005-03-16;2005-03-16;Activo;RT;G. Oriente;;G.703;ORINOC_660_1;1;11;RT;Pinhal Novo;;G.703;PINOVO_660_1;1;9;Rede de Voz;ReferTelecom;"ONU 30 Projecto Coina-Pinhal Novo
Protegido"
RFT000558;2 Mbps;2005-03-17;2005-03-17;Desligado;RT;G. Oriente;;G.703;SDH-1660#1-SL01;---;Tr 19;RT;Castelo Branco;;G.703;SDH-1650-SL01;---;Tr 07;Rede de Voz;ReferTelecom;"Interligação ONU Projecto Beira Baixa.
Foi solicitado como unprotected."
RFT000559;2 Mbps;2005-03-18;2008-01-03;Desligado;Claranet;Carrier House;;Link STM1;660_1-b31p02;---;1.2.3;Claranet;Aveiro;;G.703;SDH-1660-SL 01;---;Tr 18;Claranet;Refertelecom;"Em Entrecampos SDH 1660 SL01-Tr21.
Em Aveiro PT-1001294823.
O circuito passou de Entrecampos para a CH no dia 09-05-06.
Foi solicitada a sua desactivação no dia 03-01-2008, via AT:0006850004"
RFT000560;2 Mbps;2005-04-07;2005-04-07;Activo;IP;Setúbal;;G.703;SETBAL_660_1;1;20;IP;Palmela;;G.703;PALMLA_640_1;4;2;IP-DAT-R.Acesso;IP;Protegido
RFT000561;155 Mbps;2005-04-12;2011-03-22;Desligado;Pluricanal;Leiria;;FC-PC;SDH-1660-SL39;---;p2;Pluricanal;Torres Vedras;;FC-PC;SDH-1660-SL27;---;p2;Pluricanal;ReferTelecom;Foi ligado pelo Cliente em: 04-05-05
RFT000562;2 Mbps;2005-04-26;2011-10-04;Desligado;RT;Cacém;;G.703;SDH-1660-SL01;---;Tr 07;RT;Funcheira;;G.703;SDH-1650-SL01;---;Tr 06;Radiomóvel;ReferTelecom;"Cacém PT-1001297511-Mux303-tr01
Funcheira PT-1001297509"
RFT000563;2 Mbps;2005-04-26;2011-10-04;Desligado;Radiomóvel;Sintra Business Park;;G.703;;12;2.4.2;RT;Guimarães;;G.703;GUIMAR_660_1;9p1;3.5.1;Radiomóvel;ReferTelecom;"Braga PT-1001297510
Protegido"
RFT000564;2 Mbps;2005-04-26;2011-10-04;Desligado;Radiomóvel;Sintra Business Park;;G.703;;12;TU-2.4.3;RT;Guimarães;;G.703;GUIMAR_660_1;1;6;Radiomóvel;ReferTelecom;"Cacém PT-1001297514-Mux303-tr03
Guimarães PT-1001297512(Montalegre)
Protegido"
RFT000565;2 Mbps;2005-04-26;2011-10-04;Desligado;Radiomóvel;Sintra Business Park;;G.703;;1;TU-2.4.3;RT;Castelo Branco;;G.703;CBRANC_650_1-b8p1;;TU-3.2.2;Radiomóvel;ReferTelecom;"Cacém PT-1001297518-Mux303-tr04
Guimarães PT-1001297515
Protegido"
RFT000566;2 Mbps;2005-04-26;2011-10-04;Desligado;Radiomóvel;Sintra Business Park;;G.703;;12;TU-2.5.3;RT;Guimarães;;G.703;GUIMAR_660_1-b09p01;---;TU-3.6.2;Radiomóvel;ReferTelecom;"Cacém PT-1001297546-Mux304-Trib.01
Guimarães PT-1001297555(Cabeceiras de Basto)
Protegido"
RFT000567;2 Mbps;2005-04-26;2011-10-04;Desligado;Radiomóvel;Sintra Business Park;;G.703;;7;TU-1.4.3;RT;Castelo Branco;;G.703;CBRANC_650_1-b8p1;---;TU-3.6.1;Radiomóvel;ReferTelecom;"Cacém PT-1001297526-Mux303-tr09
Castelo Branco PT-1001297527
Protegido"
RFT000568;2 Mbps;2005-04-26;2011-10-04;Desligado;Radiomóvel;Sintra Business Park;;G.703;;7;TU-1.6.2;RT;Castelo Branco;;G.703;CBRANC_650_1-b8p1;---;TU-1.2.2;Radiomóvel;ReferTelecom;"Cacém PT-1001297524-Mux303-tr08
Castelo Branco PT-1001297535
Protegido"
RFT000569;2 Mbps;2005-04-26;2011-10-04;Desligado;Radiomóvel;Sintra Business Park;;G.703;;7;TU-1.7.2;RT;Castelo Branco;;G.703;CBRANC_650_1-b8p1;---;TU-1.3.3;Radiomóvel;ReferTelecom;"Cacém PT-1001297530-Mux303-tr10
Castelo Branco PT-1001297544
Protegido"
RFT000570;2 Mbps;2005-04-26;2011-10-04;Desligado;Radiomóvel;Sintra Business Park;;G.703;;7;TU-1.5.3;RT;Castelo Branco;;G.703;CBRANC_650_1-b8p1;---;TU-1.5.1;Radiomóvel;ReferTelecom;"Cacém PT-1001297521-Mux303-tr06
C.Branco PT-1001297531
Protegido"
RFT000571;2 Mbps;2005-04-26;2011-10-04;Desligado;Radiomóvel;Sintra Business Park;;G.703;;1;TU-1.3.1;RT;Castelo Branco;;G.703;CBRANC_650_1;1;12;Radiomóvel;ReferTelecom;"Cacém PT-1001297519-Mux303-tr05
Router RM
Protegido"
RFT000572;2 Mbps;2005-04-26;2011-10-04;Desligado;Radiomóvel;Sintra Business Park;;G.703;;9;TU-3.3.1;RT;Guimarães;;G.703;GUIMAR_660_1-b9p1;---;TU-2.6.3;Radiomóvel;ReferTelecom;"Cacém PT-1001297532-Mux303-tr13
Coimbra PT-1001297549
Protegido"
RFT000573;2 Mbps;2005-04-26;2011-10-04;Desligado;Radiomóvel;Sintra Business Park;;G.703;;7;TU-1.1.3;RT;Guimarães;;G.703;GUIMAR_660_1-b09p01;---;TU-1.3.2;Radiomóvel;ReferTelecom;"Cacém PT-1001297542-Mux303-tr14
Évora PT-1001297553
Protegido"
RFT000574;2 Mbps;2005-04-26;2011-12-22;Desligado;Radiomóvel;Sintra Business Park;;G.703;;12;TU-2.5.1;ParqueExpo;Pavilhão Atlântico;;G.703;OLTE-Ascom;---;Tr 01;Radiomóvel;ReferTelecom;"Cacém PT-1001281484-Mux304-tr11
ORINOC_660_1-b15p02-OLTE-Ascom-tr01
Protegido"
RFT000575;2 Mbps;2005-04-26;2011-10-04;Desligado;Radiomóvel;Sintra Business Park;;G.703;;12;TU-2.6.1;RT;Paredes;;G.703;PAREDES_642_2;4;TU12-3.6.2;Radiomóvel;ReferTelecom;O circuito RFT000575 foi alterado na sua terminação, mudando do Marco para Paredes em 21-07-2011
RFT000576;2 Mbps;2005-04-21;2009-06-01;Desligado;Ar Telecom;Alcântara;;G.703;AMADRA_660_1-b27p01;---;TU12-1.3.1;Tele2;Páteo Bagatelas;;STM-1-Óptico;ENTCMP_660_1-b31p01;---;2.3.2;Ar Telecom;ReferTelecom;Protegido
RFT000577;2 Mbps;2005-04-21;2009-06-01;Desligado;Ar Telecom;Alcântara;;G.703;AMADRA_660_1-b27p01;---;TU12-1.3.2;Tele2;Páteo Bagatelas;;STM-1-Óptico;ENTCMP_660_1-b31p01;---;2.3.3;Ar Telecom;ReferTelecom;Protegido
RFT000578;2 Mbps;2005-04-21;2009-02-18;Desligado;Ar Telecom;Alcântara;;G.703;AMADRA_660_1-b27p01;---;TU12-1.3.3;Tele2;Páteo Bagatelas;;STM-1-Óptico;ENTCMP_660_1-b31p01;---;2.4.1;Ar Telecom;ReferTelecom;Protegido
RFT000579;2 Mbps;2005-04-21;2009-02-18;Desligado;Ar Telecom;Alcântara;;G.703;AMADRA_660_1-b27p01;---;TU12-1.4.1;Tele2;Páteo Bagatelas;;STM-1-Óptico;ENTCMP_660_1-b31p01;---;2.4.2;Ar Telecom;ReferTelecom;Protegido
RFT000580;2 Mbps;2005-04-21;2009-06-01;Desligado;Ar Telecom;Alcântara;;G.703;AMADRA_660_1-b27p01;---;TU12-1.4.2;Tele2;Páteo Bagatelas;;STM-1-Óptico;ENTCMP_660_1-b31p01;---;2.4.3;Ar Telecom;ReferTelecom;Protegido
RFT000581;2 Mbps;2005-04-04;2007-09-17;Desligado;Ar Telecom;Alcântara;;G.703;STM1-Jazztel;---;TU12-1.4.3;RT;Setúbal;;G.703;SDH-1660-SL01;---;Tr 21;Ar Telecom;ReferTelecom;
RFT000582;2 Mbps;2005-04-18;2008-10-01;Desligado;Ar Telecom;Alcântara;;G.703;AMADRA_660_1-b27p01;---;TU12-1.5.1;SedFer;Coimbra Cidade;;G.703;OLTE;---;Tr 02;Ar Telecom;ReferTelecom;"Em Coimbra B sai do SDH-1660SM-SL01tr21
Protegido"
RFT000583;2 Mbps;2005-04-04;2007-01-24;Desligado;Ar Telecom;Alcântara;;G.703;STM1-Jazztel;---;TU12-1.5.2;CEMI;Av. Columbano Bordalo Pinheiro;;G.703;OLTE;---;Tr 01;Ar Telecom;ReferTelecom;"Entrecampos SDH-1641-SL02tr20
entre Entrecampos e Sete Rios OLTE Tr 03
"
RFT000584;2 Mbps;2005-05-10;2007-09-17;Desligado;Ar Telecom;Alcântara;;G.703;STM1-Jazztel;---;TU12-1.5.3;RT;Alcântara Terra;;G.703;HDSL;---;Tr 01;Ar Telecom;ReferTelecom;Em Campolide CTC sl01tr04
RFT000585;2 Mbps;2005-05-10;2007-09-17;Desligado;Ar Telecom;Alcântara;;G.703;STM1-Jazztel;---;TU12-1.6.1;RT;V. F. Xira;;G.703;OLTE;---;Tr 03;Ar Telecom;ReferTelecom;Em LN_Oriente SDH-1650SMC-SL02tr16
RFT000586;2 Mbps;2005-05-10;2007-09-17;Desligado;Ar Telecom;Alcântara;;G.703;STM1-Jazztel;---;TU12-1.6.2;RT;Penalva;;G.703;OLTE;---;Tr 02;Ar Telecom;ReferTelecom;No Pinhal Novo SDH-1660SM-SL01TR10
RFT000587;2 Mbps;2005-05-11;2011-10-04;Desligado;Radiomóvel;Sintra Business Park;;G.703;;9;TU-3.3.2;RT;Guimarães;;G.703;GUIMAR_660_1-b9p1;---;TU-2.7.1;Radiomóvel;ReferTelecom;"Cacém PT-1001298467-Mux304-tr13
Águeda PT-1001298466
Protegido"
RFT000588;2 Mbps;2005-05-11;2011-10-04;Desligado;Radiomóvel;Sintra Business Park;;G.703;;9;TU-1.6.3;RT;Leça do Balio;;G.703;LECABA_642_1;2;TU-2.2.3;Radiomóvel;ReferTelecom;"Cacém PT-1001298469-Mux304-tr14
Marco PT-1001298468
ORINOC_660_1-b15p16-OLTE-Ascom-tr02
Protegido"
RFT000589;2 Mbps;2005-05-13;2009-09-15;Desligado;RT;Abrantes;;G.703;ABRANT_650_1;1;17;Tele2;Páteo Bagatelas;;G.703;ENTCMP_660_1-b31p01;---;TU12-3.4.2;Tele2;ReferTelecom;Protegido
RFT000590;2 Mbps;2005-05-13;2009-05-20;Desligado;RT;C. Branco;;G.703;CBRANC_650_1;1;11;Tele2;Páteo Bagatelas;;G.703;ENTCMP_660_1-b31p01;---;TU12-3.3.3;Tele2;ReferTelecom;Protegido
